Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чекалюк,Богуслава,Степанівна,Жіноча,1950-12-31,Музикант,село Новий Розділ,"сквер Кладовищенська, буд. 1, Вижниця, 30356",+380 39 252-59-61,pzabila@example.org
Заєць,Микита,Павлович,Чоловіча,1947-04-02,Юрист,селище Помічна,"проспект Вапняний 2-й, буд. 1 кв. 16, Берегове, 28456",872 71 34,pylypizhakevych@example.com
Тимченко,Дарина,Олександрівна,Жіноча,1981-06-16,Математик,місто Багачеве,"вулиця Сирітський, буд. 969 кв. 6, Шахтарське, 25546",003 083 89 38,deriazhnaiaroslava@example.net
Туркало,Симон,Григорович,Чоловіча,1965-02-09,Паблік рилейшнз,хутір Отаманівка,"проспект Проточний, буд. 025, Нова Одеса, 68397",795 74 96,deinekadan@example.com
Канівець,Анжела,Михайлівна,Жіноча,2009-06-06,Математик,село Вугледар,"узвіз Восьмого березня 4-й, буд. 8, Славута, 30054",+380 34 066-37-41,sychmykolai@example.com
Шахрай,Орхип,Михайлович,Чоловіча,2011-12-02,Детектив,село Берегове,"вулиця Світла, буд. 376 кв. 7, Болград, 55902",+380 60 056-08-47,liudmyla71@example.net
Ніколюк,Аліна,Вікторівна,Жіноча,1947-09-14,Зоолог,місто Ізмаїл,"площа Героїв оборони Одеси, буд. 19 кв. 610, Шептицький, 73829",066 915-25-80,qverkhovynets@example.com
Ільченко,Георгій,Дмитрович,Чоловіча,1955-11-01,Головний меркшейдер,селище Рогатин,"провулок Залізнична, буд. 2 кв. 9, Комарно, 82072",+380 17 454-89-58,skyrdavenedykt@example.net
Чайка,Нестор,Андрійович,Чоловіча,1987-07-28,Кухар,село Остер,"узвіз Бібліотечна, буд. 131, Гола Пристань, 84075",+380 55 076-72-11,olha45@example.org
Ґереґа,Гліб,Павлович,Чоловіча,1951-07-22,Музикант,хутір Стебник,"проспект Планетна, буд. 35 кв. 802, Балта, 47314",048 004-81-26,kradchenko@example.net
Рубець,Клавдія,Олександрівна,Жіноча,1948-09-01,Архітектор,село Кіцмань,"проспект Лиманчик 2-й Лінія 4-та, буд. 7 кв. 41, Бережани, 22889",005-54-11,maksym46@example.com
Гречко,Лесь,Володимирович,Чоловіча,1984-02-02,Нотаріус,селище Красилів,"провулок Цегельнозаводська, буд. 3, Теплодар, 85354",+380 02 619 24 59,kyrylo68@example.com
Тесля,Роман,Григорович,Чоловіча,1997-02-22,Гірничий інженер,село Гірське,"парк Лугова, буд. 7 кв. 71, Пирятин, 07073",+380 67 115-58-18,orkhypadamenko@example.com
Дейнека,Федір,Анатолійович,Чоловіча,2004-09-30,Дантист,місто Мар'їнка,"вулиця Сталепрокатна, буд. 691, Новояворівськ, 51365",+380 93 064-23-34,halynapalii@example.com
Івасюк,Георгій,Григорович,Чоловіча,1990-01-07,Правник,селище Жмеринка,"набережна Рибальська, буд. 56 кв. 4, Фастів, 55287",+380 70 813-67-68,iaremenkoorkhyp@example.net
Гузенко,Михайлина,Богданівна,Жіноча,1948-11-04,Електротехнік,селище Бобровиця,"площа Віталія Блажка, буд. 6, Харків, 37887",410-31-68,dzyndrafedir@example.org
Дрозд,Аніта,Володимирівна,Жіноча,1958-09-22,Кінорежисер,місто Хутір-Михайлівський,"узвіз Вокзальний, буд. 66, Привілля, 63101",+380 (23) 821-79-54,viacheslav83@example.org
Верховинець,Ліза,Богданівна,Жіноча,1953-11-20,Бухгалтер,селище Лебедин,"узвіз Проїзний 1-й, буд. 372, Львів, 34257",+380 (98) 832-60-93,priskasomko@example.net
Акименко,Наталія,Іванівна,Жіноча,1984-07-10,Художник,місто Волноваха,"набережна Офіцерський 2-й, буд. 589 кв. 4, Василівка, 50175",+380 (45) 014-71-33,fomenkohanna@example.com
Зінчук,Валентина,Олексіївна,Жіноча,1959-06-09,Агроном,місто Вуглегірськ,"шосе Персикова, буд. 06, Погребище, 26281",+380 99 141 36 36,hermanvivcharenko@example.com
Бакуменко,Євген,Григорович,Чоловіча,1969-03-13,Електрослюсар,хутір Татарбунари,"сквер Сливовий, буд. 45, Покров, 77775",+380 (88) 676-56-87,gonishchuk@example.com
Вишиваний,Гаврило,Петрович,Чоловіча,1989-10-22,Золотар,селище Красноперекопськ,"шосе Карпатська, буд. 650, Барвінкове, 42286",+380 82 040-43-77,azarbakumenko@example.net
Лазаренко,Гліб,Тарасович,Чоловіча,1967-05-29,Модельєр,хутір Корюківка,"шосе 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 9, Волноваха, 78981",+380 36 785-08-86,ubashtan@example.com
Дурдинець,Аарон,Романович,Чоловіча,1987-12-13,Бізнесмен,місто Оріхів,"площа Отамана Чепіги, буд. 162, Калуш, 18471",065 055-61-84,vvashchuk@example.net
Козаченко,Віолетта,Вікторівна,Жіноча,1988-01-24,Гінеколог,селище Макіївка,"сквер Хаджибейський 3-й, буд. 37, Кам'янка-Дніпровська, 02607",+380 29 367 95 61,bohdanandroshchuk@example.org
Дерегус,Устим,Михайлович,Чоловіча,2004-07-23,Співак,село Кипуче,"шосе Керченська, буд. 044 кв. 384, Гадяч, 53322",001 888 84 60,tovstolisomelian@example.net
Бабенко,Орися,Вікторівна,Жіноча,1971-07-24,Клавішник,місто Моршин,"шосе Сирітський, буд. 7, Олешки, 98572",+380 (09) 724-91-35,serhii32@example.org
Затула,Розалія,Дмитрівна,Жіноча,1997-06-15,Випробувач,селище Ворожба,"сквер узвіз Віталія Блажка, буд. 044 кв. 453, Горлівка, 29784",+380 10 220-08-41,symon86@example.net
Барабаш,Соломон,Анатолійович,Чоловіча,1994-09-26,Кінокритик,село Бахчисарай,"шосе Віри Холодної, буд. 79, Українськ, 59666",+380 49 219-49-25,bevztetiana@example.net
Червоненко,Ірена,Михайлівна,Жіноча,1957-07-05,Правник,місто Ірміно,"проспект 19-та Лінія, буд. 6 кв. 5, Черкаси, 67472",801-57-03,demianiukparmen@example.org
Карась,Опанас,Петрович,Чоловіча,1952-01-29,Електротехнік,хутір Липовець,"узвіз Технічний, буд. 204, Жидачів, 79052",088 074 95 16,semenbazylevska@example.com
Данилюк,Ігор,Сергійович,Чоловіча,1984-05-03,Журналіст,село Боково-Хрустальне,"сквер Пішонівська, буд. 96, Отаманівка, 72617",000 816-19-57,qarkhypenko@example.org
Тимчук,Розалія,Анатоліївна,Жіноча,1966-09-18,Шериф,місто Сколе,"проспект Яна Длугоша, буд. 170 кв. 9, Самбір, 47911",+380 47 347-49-99,babkobohuslava@example.org
Романенко,Андрій,Павлович,Чоловіча,1989-07-30,Громадський діяч,село Буськ,"набережна Левадна, буд. 127, Іловайськ, 98066",+380 46 333 37 36,nestor61@example.net
Дубас,Спас,Степанович,Чоловіча,1962-02-21,Клоун,місто Гайворон,"вулиця Водний, буд. 7 кв. 73, Козятин, 17999",+380 87 158-94-24,ovasylevych@example.net
Чарниш,Павло,Іванович,Чоловіча,1984-11-28,Секретар,хутір Бар,"шосе Миколаївська дорога, буд. 58, Петрово-Красносілля, 40164",+380 99 404 47 73,fchuiko@example.net
Лупій,Станіслав,Сергійович,Чоловіча,1951-06-07,Футболіст,селище Хотин,"шосе Обільний 2-й, буд. 89, Могилів-Подільський, 50064",+380 (64) 342-24-12,nazariemelianenko@example.net
Колодуб,Венедикт,Михайлович,Чоловіча,1982-03-17,Гінеколог,селище Амвросіївка,"проспект Вернидуба, буд. 4 кв. 884, Тальне, 02527",+380 06 292-83-96,hlibpoltavets@example.org
Влох,Станіслав,Тарасович,Чоловіча,1969-10-02,Детектив,місто Нетішин,"набережна Скляний 1-й, буд. 39 кв. 946, Збараж, 41226",045-34-60,leonidarkhypenko@example.org
Вернигора,Емілія,Юріївна,Жіноча,1990-02-15,Економіст,місто Валки,"сквер Космонавтів, буд. 03, Пирятин, 56443",081 106 84 94,bohuslav39@example.com
Павлик,Аркадій,Андрійович,Чоловіча,1978-08-26,Електромонтер,хутір Антрацит,"шосе Болградська, буд. 02, Ківерці, 71272",+380 88 216 98 33,hannafartushniak@example.org
Саєнко,Михайлина,Юріївна,Жіноча,1989-06-08,Геофізик,селище Хорол,"провулок Журавлина, буд. 1, Зіньків, 69520",+380 02 892-69-89,riaboshapkaoryna@example.org
Александренко,Богдан,Павлович,Чоловіча,1988-08-09,Науковець,хутір Кадіївка,"проспект Друга, буд. 7 кв. 24, Городище, 62418",735 21 53,kamillashchors@example.com
Копитко,Герман,Романович,Чоловіча,1988-10-04,Юрист,село Городня,"парк Старорізнична, буд. 2, Чернівці, 30224",071 192-24-13,jartymovych@example.net
Бездітко,Борис,Олександрович,Чоловіча,2010-06-28,Геофізик,хутір Володимир-Волинський,"парк Тиха, буд. 12 кв. 393, Тульчин, 35132",+380 56 744-75-86,herman38@example.com
Ващенко,Ярослава,Вікторівна,Жіноча,1996-12-06,Дерун,хутір Фастів,"вулиця Софіївська, буд. 76, Старий Самбір, 39078",073 633 16 94,orkhypnosachenko@example.net
Оберемко,Августин,Павлович,Чоловіча,2010-08-08,Ґрунтознавець,місто Сіверськодонецьк,"сквер Горбатий міст, буд. 640, Генічеськ, 75099",+380 68 410-38-54,anzhela66@example.net
Чумак,Василина,Петрівна,Жіноча,1953-12-19,Детектив,місто Немирів,"проспект Зернова, буд. 17 кв. 23, Карлівка, 72787",049 734 93 33,shynkarenkomariana@example.net
Атаманчук,Мирон,Романович,Чоловіча,1959-11-09,Географ,селище Хутір-Михайлівський,"шосе Проїзний 2-й, буд. 90, Бар, 01099",+380 (27) 840-64-57,martyn26@example.net
Теліженко,Клавдія,Григорівна,Жіноча,1973-11-18,Льотчик,місто Рожище,"шосе Андреєвського, буд. 164 кв. 8, Черкаси, 01256",+380 38 559-12-96,iarema17@example.org
Вахній,Руслан,Григорович,Чоловіча,1950-06-29,Випробувач,хутір Славутич,"узвіз Садовий, буд. 889 кв. 09, Житомир, 83396",+380 00 535-99-40,emiliia70@example.org
Іваничук,Ігор,Романович,Чоловіча,1994-09-06,Дизайнер,місто Южне,"провулок Бернардацці, буд. 7 кв. 00, Кропивницький, 30778",+380 87 818-41-51,veniiamyn19@example.org
Кибкало,Хома,Дмитрович,Чоловіча,1946-10-21,Соціолог,селище Яготин,"провулок Тополиний, буд. 9 кв. 114, Судак, 66785",+380 34 812 16 79,stanislav66@example.net
Удовенко,Роксолана,Тарасівна,Жіноча,1994-08-17,Каскадер,село Заводське,"шосе Усатівська, буд. 04, Липовець, 25186",+380 (59) 481-78-07,taras29@example.org
Балабан,Златослава,Вікторівна,Жіноча,1979-02-19,Зоолог,хутір Соснівка,"сквер Шкільний, буд. 1, Старокостянтинів, 82153",067 928 77 15,kostiantyn06@example.net
Чміль,Адам,Юрійович,Чоловіча,1965-11-12,Гицель,село Лутугине,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 832 кв. 7, Шахтарськ, 70624",349-47-28,uostapchuk@example.com
Шинкаренко,Прохір,Анатолійович,Чоловіча,1980-03-04,Кухар,селище Донецьк,"провулок Трудова, буд. 233, Тетіїв, 46357",069 745-29-02,goliashomelian@example.com
Кабаненко,Тетяна,Романівна,Жіноча,1974-12-29,Кінорежисер,селище Новодружеськ,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 344, Заставна, 88206",+380 76 715-43-60,nandriishyn@example.org
Скопенко,Герман,Олексійович,Чоловіча,1999-07-23,Музикант,хутір Світловодськ,"вулиця Андросовський, буд. 5 кв. 2, Берислав, 76862",035 199-30-70,bebeshkoherman@example.org
Ящук,Пилип,Михайлович,Чоловіча,1975-05-18,Палеонтолог,хутір Городок,"шосе Князівська, буд. 6, Селидове, 93659",+380 39 177-48-11,khomazarudnyi@example.com
Чайка,Лукʼян,Миколайович,Чоловіча,1974-09-28,Психолог,селище Шепетівка,"вулиця Суднобудівний, буд. 055 кв. 45, Теребовля, 89066",+380 (97) 046-12-67,tlupii@example.net
Овсієнко,Арсен,Андрійович,Чоловіча,1967-05-14,Сантехнік,селище Деражня,"шосе Хімічний 2-й, буд. 547 кв. 0, Зміїв, 05480",+380 09 719-38-39,zasenkosofiia@example.org
Артимович,Христина,Андріївна,Жіноча,1987-06-04,Мовознавець,селище Зоринськ,"вулиця Грецький, буд. 066 кв. 915, Ровеньки, 63213",853 11 20,panteleimon18@example.net
Данченко,Остап,Олександрович,Чоловіча,1984-08-12,Продюсер,хутір Бобровиця,"узвіз Красива, буд. 007 кв. 48, Шпола, 78233",813 04 35,satsiuksvitlana@example.com
Остапчук,Віктор,Олександрович,Чоловіча,1967-04-02,Актор,хутір Красноперекопськ,"проспект Ярослава Баїса, буд. 12 кв. 9, Макіївка, 61255",825 43 20,oryna48@example.com
Рябець,Тарас,Григорович,Чоловіча,1975-10-09,Випробувач,селище Рені,"набережна Іванівська, буд. 02, Антрацит, 81999",011 130-10-16,iefrem38@example.com
Павленко,Одарка,Олександрівна,Жіноча,2009-07-12,Сантехнік,хутір Гола Пристань,"проспект Лузанівка, буд. 2 кв. 5, Новий Розділ, 36226",870-74-04,mamchuroles@example.net
Вітрук,Єва,Олександрівна,Жіноча,1993-04-05,Ді-джей,селище Пирятин,"площа Хлібна гавань, буд. 460, Пустомити, 80012",098 701-89-99,stuspavlo@example.net
Франчук,Остап,Богданович,Чоловіча,1999-02-21,Пекар,хутір Гірське,"площа Нерубайська, буд. 82 кв. 74, Кам'янка-Бузька, 72620",+380 73 711-12-05,orysia33@example.org
